p_id,session,age,group,corsi_acc_t,corsi_max_wm_t,totalsessions,trainingslope,Fssrtnr_t,ay_bx_error_t,PBI_error_t,cf_switch_acc_t,psedooneFArate_t,psedotwoFArate_t,stroop_error_t,flankerswitch_error_t,flank_inh_error_t
41,2,6.1916666,1,.42857143,7,10,-12.636613,274,.083333336,.33329782,-11.764709,,,,,
42,0,10.922222,2,.5,5,6,-42.418987,193,0,0,-5.2631607,0,.035714287,0,.4285714,.050000001
42,1,10.922222,2,,,6,-42.418987,,,,,,,,,
42,2,10.922222,2,,,6,-42.418987,,,,,,,,,
43,0,7.9000001,2,.35714287,5,6,-78.312538,276,0,0,-13.397133,.035714287,.035714287,.1388889,.1785714,.17647059
43,1,7.9000001,2,,,6,-78.312538,,,,,,,,,
43,2,7.9000001,2,,,6,-78.312538,,,,,,,,,
44,0,9.4944448,2,.42857143,5,5,-64.604485,,.16666667,.33333334,27.272728,.10714286,.035714287,.027777778,.14285713,.10526315
44,1,9.4944448,2,,,5,-64.604485,,,,,,,,,
44,2,9.4944448,2,,,5,-64.604485,,,,,,,,,
45,0,7.0333333,2,.42857143,5,11,7.2168298,185,0,0,3.8277512,0,0,.055555556,.29761904,.36842105
45,1,7.0333333,2,.42857143,5,11,7.2168298,300,0,0,0,0,.10714286,-.027777778,-.035714269,.15000001
45,2,7.0333333,2,.5714286,7,11,7.2168298,237,0,0,,,,,,
46,0,8.8111115,2,.42857143,5,22,-1.7752826,225,.23333335,.53846157,-10.526314,0,0,.083333336,.13095242,-.052631579
46,1,8.8111115,2,.35714287,4,22,-1.7752826,76,-.083333336,-.33333334,3.8277512,0,.10714286,.083333343,.20238096,-.010526314
46,2,8.8111115,2,.42857143,,22,-1.7752826,210.47058,-.083333336,-.33329782,-5.8823547,,,,,
47,0,9.5583334,1,.42857143,6,27,-2.023231,215,-.16666667,-.59997439,3.8277512,0,.071428575,.027777778,-.023809552,.050000001
47,1,9.5583334,1,.5,7,27,-2.023231,119,,,,,,,,.050000001
47,2,9.5583334,1,.62962961,,27,-2.023231,174.44444,.083333336,.33329782,-5.8823547,,,,,
48,0,8.8861113,2,.35714287,5,20,-6.6595201,176.92308,-.083333336,-.33333334,9.0909119,0,.10714286,.055555556,.63095236,.44444445
48,1,8.8861113,2,.35714287,5,20,-6.6595201,257,.16666666,.5,18.181816,0,.035714287,.083333336,.19047618,.10000001
48,2,8.8861113,2,.53846157,6,20,-6.6595201,269.77777,0,0,3.6199036,,,,,
49,0,7.3083334,2,.42857143,4,6,-73.71727,344,.25,.71426612,10.047848,.071428575,.035714287,-.02777778,.44047621,.29473686
49,1,7.3083334,2,,,6,-73.71727,,,,,,,,,
49,2,7.3083334,2,,,6,-73.71727,,,,,,,,,
